"","date","ABCB4","AGRO3","BBDC3","BRSR6","EUCA4","HBSA3","MATD3","NEXA","OPCT3","PETR4","PSSA3","TUPY3"
"2021-01-04","2021-01-04",13.125877,19.258991,17.037064,11.345987,6.417239,6.61,NA,8.896505,NA,11.470778,19.892534,20.639683
"2021-01-05","2021-01-05",12.939525,19.798241,16.955616,11.166016,6.301762,6.66,NA,8.506148,NA,11.919137,19.717676,21.431723
"2021-01-06","2021-01-06",13.085366,20.044756,17.381853,11.377287,6.367748,6.48,NA,8.7331,NA,11.942942,19.342972,21.217407
"2021-01-07","2021-01-07",13.522293,20.414528,17.808096,11.424236,6.479028,6.2,NA,8.369978,NA,12.300039,19.784288,21.282633
"2021-01-08","2021-01-08",13.505641,19.952312,17.670832,11.119067,6.32618,6.37,NA,8.11579,NA,12.347652,21.149868,21.981495
"2021-01-11","2021-01-11",13.214213,20.414528,17.40353,11.142542,6.32618,6.31,NA,7.970542,NA,12.244492,20.604475,21.441042
"2021-01-12","2021-01-12",13.53062,20.961483,17.410753,11.400762,6.360146,6.45,NA,8.578773,NA,12.153232,20.562838,21.375816
"2021-01-13","2021-01-13",13.280825,20.915262,17.085659,11.306865,6.309197,6.75,NA,8.233806,NA,11.566005,20.454592,21.15218
"2021-01-14","2021-01-14",13.755439,21.523848,17.627485,11.525959,6.300706,6.85,NA,8.388133,NA,11.685037,20.696064,21.189451
"2021-01-15","2021-01-15",13.355764,20.799709,16.977287,11.244266,6.309197,6.8,NA,7.952386,NA,11.157326,20.633614,21.366497
"2021-01-18","2021-01-18",13.464009,20.792006,17.049524,11.095594,6.394113,7.01,NA,NA,NA,11.137486,20.812639,21.226725
"2021-01-19","2021-01-19",13.239192,20.191124,16.731659,10.884322,6.377129,7.31,NA,8.415367,NA,11.383489,20.696064,20.751501
"2021-01-20","2021-01-20",13.09764,20.522379,16.399336,10.806075,6.351655,7.36,NA,8.497069,NA,11.193036,20.750187,20.304228
"2021-01-21","2021-01-21",12.864497,20.345198,16.103142,10.751302,6.26674,7.43,NA,8.224729,NA,10.931163,20.82929,19.838324
"2021-01-22","2021-01-22",12.889477,20.32979,15.83584,10.579156,6.173333,7.25,NA,8.079478,NA,10.748648,20.554508,19.773094
"2021-01-25","2021-01-25",NA,NA,NA,NA,NA,NA,NA,7.916075,NA,NA,NA,NA
"2021-01-26","2021-01-26",12.731274,20.491566,15.496292,10.430483,5.961045,6.96,NA,7.988699,NA,10.712939,20.300549,19.810366
"2021-01-27","2021-01-27",12.598049,19.944609,15.626331,10.305288,6.113892,6.94,NA,7.339616,NA,10.871649,20.013273,19.838324
"2021-01-28","2021-01-28",12.906129,20.152605,16.110369,10.586979,6.15635,6.97,NA,7.425858,NA,11.014488,20.833456,20.378775
"2021-01-29","2021-01-29",12.581396,19.859871,15.633561,10.54003,6.003503,6.7,NA,7.834371,NA,10.589939,20.059067,19.689232
"2021-02-01","2021-02-01",13.006048,20.414528,15.965877,10.563506,6.181825,6.79,NA,9.177924,NA,10.923228,20.300549,20.872633
"2021-02-02","2021-02-02",13.230865,19.859871,15.934964,10.579156,6.275231,6.77,NA,9.159769,NA,11.371585,20.521202,21.142864
"2021-02-03","2021-02-03",13.239192,19.220472,16.03619,10.641753,6.26674,6.72,NA,9.041755,NA,11.482682,20.754349,21.180134
"2021-02-04","2021-02-04",13.17258,18.48863,16.527824,10.680879,6.360146,6.66,NA,8.64232,NA,11.435067,20.616962,20.872633
"2021-02-05","2021-02-05",13.139273,18.319151,16.419378,10.563506,6.835671,6.64,NA,8.35182,NA,11.443004,21.353876,20.574455
"2021-02-08","2021-02-08",12.83952,18.48863,16.122948,10.493083,6.597909,6.5,NA,9.677218,NA,11.153358,20.758514,20.406729
"2021-02-09","2021-02-09",13.072662,18.450113,16.274778,10.688704,6.453553,6.4,NA,9.123456,NA,10.927197,20.583654,20.211046
"2021-02-10","2021-02-10",12.706294,17.795307,16.115721,10.500906,6.368638,6.32,NA,9.141613,NA,11.030359,20.462917,19.773094
"2021-02-11","2021-02-11",12.76458,17.818419,16.159094,10.485256,6.164842,6.44,NA,9.105301,NA,11.141455,20.250584,19.810366
"2021-02-12","2021-02-12",12.95609,17.718271,16.19525,10.352236,6.351655,6.48,NA,9.413955,11.15,11.284295,20.054907,20.015368
"2021-02-16","2021-02-16",NA,NA,NA,NA,NA,NA,NA,9.477501,NA,NA,NA,NA
"2021-02-17","2021-02-17",12.872826,17.487162,16.028955,10.344409,6.512994,6.52,NA,8.814802,11.14,11.740586,19.905027,20.043324
"2021-02-18","2021-02-18",12.706294,17.333092,15.811604,10.313112,6.512994,6.6,NA,8.64232,11.14,11.613618,19.863392,20.285593
"2021-02-19","2021-02-19",12.806211,17.448645,15.753702,10.328761,6.54696,6.7,NA,8.82388,11.15,10.843874,20.038252,19.829006
"2021-02-22","2021-02-22",12.47315,17.525681,14.856388,9.773198,6.181825,6.85,NA,9.450267,10.85,8.598125,19.534487,19.009008
"2021-02-23","2021-02-23",12.939439,17.641233,15.536618,10.234863,6.377129,6.8,NA,9.368565,11.14,9.546418,19.41375,19.204689
"2021-02-24","2021-02-24",13.280825,17.880047,15.435307,10.313112,6.300706,6.86,NA,9.831546,11.08,9.681322,19.255541,20.257639
"2021-02-25","2021-02-25",13.305804,17.425535,15.037304,10.039243,6.088418,6.55,NA,9.05991,11.14,9.201222,18.568586,19.288551
"2021-02-26","2021-02-26",12.789559,16.955616,14.899807,9.890571,6.088418,6.44,NA,8.596929,10.97,8.824286,18.14809,19.801048
"2021-03-01","2021-03-01",12.947764,17.394718,14.414969,9.374133,5.98652,6.25,NA,8.624164,10.9,8.72906,17.944082,19.51219
"2021-03-02","2021-03-02",13.122621,17.610422,14.666471,9.468033,5.978028,6.1,NA,8.77849,10.88,8.725093,18.189718,20.220367
"2021-03-03","2021-03-03",13.039355,17.664347,14.963418,9.53063,6.105402,6.13,NA,8.515226,10.74,8.407672,18.143923,20.975134
"2021-03-04","2021-03-04",13.039355,17.602716,15.463167,9.914046,6.096909,6.19,NA,8.170259,10.7,8.81635,18.102293,21.515591
"2021-03-05","2021-03-05",13.314131,17.987898,16.31056,10.250513,6.241265,5.96,NA,8.424445,10.48,8.883801,18.139761,19.903551
"2021-03-08","2021-03-08",12.598049,17.718271,15.680448,9.59556,6.275231,5.39,NA,9.795234,10.1,8.371963,17.881632,18.850597
"2021-03-09","2021-03-09",12.423192,17.302277,15.702174,9.484078,6.011994,5.36,NA,9.731688,9.84,8.566383,17.735914,18.077192
"2021-03-10","2021-03-10",12.389884,17.171316,15.941185,9.802605,6.173333,5.25,NA,9.622751,9.9,8.863964,18.048168,18.142418
"2021-03-11","2021-03-11",12.606376,17.078871,16.259859,9.754825,6.224282,5.35,NA,10.33403,10.4,9.240902,18.456175,18.5431
"2021-03-12","2021-03-12",12.47315,17.063465,16.028095,9.64334,6.351655,5.38,NA,10.008183,10.26,9.193289,18.356258,18.776054
