date,Indie
2023-04-14,3.4092621
2023-04-13,3.4256527
2023-04-12,3.4116546
2023-04-11,3.3721912
2023-04-10,3.2283074
2023-04-06,3.2257854
2023-04-05,3.2178106
2023-04-04,3.2399771
2023-04-03,3.1964733
2023-03-31,3.2412251
2023-03-30,3.2980753
2023-03-29,3.2256103
2023-03-28,3.2344901
2023-03-27,3.1831693
2023-03-24,3.1447033
2023-03-23,3.0786531
2023-03-22,3.1821737
2023-03-21,3.2001201
2023-03-20,3.2075528
2023-03-17,3.2881581
2023-03-16,3.3638395
2023-03-15,3.3497487
2023-03-14,3.3418365
2023-03-13,3.3791902
2023-03-10,3.3908635
2023-03-09,3.405485
2023-03-08,3.4465635
2023-03-07,3.3123515
2023-03-06,3.3126239
2023-03-03,3.267556
2023-03-02,3.2677833
2023-03-01,3.2550388
2023-02-28,3.3731937
2023-02-27,3.3937768
2023-02-24,3.3887018
2023-02-23,3.4115862
2023-02-22,3.4236591
2023-02-17,3.4876348
2023-02-16,3.4967459
2023-02-15,3.4611393
2023-02-14,3.4019312
2023-02-13,3.4530225
2023-02-10,3.4409419
2023-02-09,3.4076498
2023-02-08,3.5137143
2023-02-07,3.464134
2023-02-06,3.5051187
2023-02-03,3.5190218
2023-02-02,3.6359236
2023-02-01,3.646917
2023-01-31,3.67286
2023-01-30,3.6075867
2023-01-27,3.6170018
2023-01-26,3.6588836
2023-01-25,3.6536243
2023-01-24,3.6024097
2023-01-23,3.5452641
2023-01-20,3.5711939
2023-01-19,3.6211533
2023-01-18,3.6064621
2023-01-17,3.5512043
2023-01-16,3.4997768
2023-01-13,3.5396695
2023-01-12,3.5882768
2023-01-11,3.6103807
2023-01-10,3.5437811
2023-01-09,3.447996
2023-01-06,3.4679073
2023-01-05,3.4131175
2023-01-04,3.3519775
2023-01-03,3.3056765
2023-01-02,3.3922477
2022-12-30,3.544177
2022-12-29,3.5441934
2022-12-28,3.57377
2022-12-27,3.4698609
2022-12-26,3.5341104
2022-12-23,3.6025611
2022-12-22,3.4968543
2022-12-21,3.4966195
2022-12-20,3.4793813
2022-12-19,3.3782908
2022-12-16,3.3018512
2022-12-15,3.349617
2022-12-14,3.3586378
2022-12-13,3.3179424
2022-12-12,3.3963094
2022-12-09,3.4644546
2022-12-08,3.4884957
2022-12-07,3.5578713
2022-12-06,3.5656414
2022-12-05,3.5736486
2022-12-02,3.6867597
2022-12-01,3.6530857
2022-11-30,3.7016553
2022-11-29,3.6723171
2022-11-28,3.6185664
2022-11-25,3.6513376
2022-11-24,3.7704607
2022-11-23,3.6420856
2022-11-22,3.677476
2022-11-21,3.721564
2022-11-18,3.6614604
2022-11-17,3.6462768
2022-11-16,3.6965386
2022-11-14,3.824065
2022-11-11,3.8077216
2022-11-10,3.8092582
2022-11-09,3.9780426
2022-11-08,4.0291819
2022-11-07,4.0079131
2022-11-04,4.1210366
2022-11-03,4.0877241
2022-11-01,4.0694236
2022-10-31,4.0545266
